Company Name,Founded,Headquarters,Key People,Products,Revenue,Number of Employees,Website,,,
PIK Group of Companies PJSC,,", ","Ivan Polandov, <small>(CEO)</small>",House-building,wikidata revenue|revenue|USDwikidata revenue|revenue|ref,,,,,
"Avnet, Inc.",,", ",ubl|class=nowrap|Phil Gallagher (CEO) | Rodney Adkins (chairperson|chairman) |Ken Jacobson (CFO),,increase US$|26.53 billion|link=yes (2023),"circa|14,500 (2021)",,,,
Braskem S.A,,", ",Roberto Simões (CEO),"Petrochemical, chemicals and resins","profit US$ 14.7 billion <small>(2017)</small><ref name=""bmfbovespa.com.br"">cite web|url=http://www.bmfbovespa.com.br/Cias-Listadas/Empresas-Listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=4820&idioma=pt-br|title=- Empresas Listadas - BM&FBOVESPA|work=bmfbovespa.com.br|url-status=dead|archive-url=https://web.archive.org/web/20091127005803/http://www.bmfbovespa.com.br/Cias-Listadas/Empresas-Listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=4820&idioma=pt-br|archive-date=2009-11-27</ref>",7656,,,,
Just Group,,", ",Richard Murray (CEO),"Clothing, accessories",,4000,,,,
Bank Pekao S.A.,start date and age|1929|03|17|df=y,", ","Leszek Skiba, CEO",Financial services,,"13,497 (2021)<ref>cite web| url = https://www.zadluzenia.com/banki-w-polsce/ |language = pl |title=Banki w Polsce 2021. Ranking największych banków | access-date = 26 August 2021</ref>",,,,
"Big Lots Stores, Inc.",,", ",Bruce Thorn<ref>cite web |title=Leadership |url=https://www.biglots.com/corporate/about-us/our-leadership |website=Biglots.com</ref> (President (corporate title)|president and Chief executive officer|CEO),"Food and Beverage, toys, furniture, clothing, housewares, small electronics",increase US$6.15 billion (2021)<ref>cite web|url=https://www.biglots.com/corporate/investors/annual-reports |title=Annual Reports |website=BigLots.com</ref>,"22,900<ref>Cite web|url=http://fortune.com/fortune500/big-lots/|title=Big Lots|website=Fortune|access-date=2019-01-07|archive-date=April 14, 2019|archive-url=https://web.archive.org/web/20190414011421/http://fortune.com/fortune500/big-lots/|url-status=dead</ref>",URL|https://www.biglots.com,,,
"The Toho Bank, Ltd <br> 東邦銀行",,", ",Kiyoshi Kitamura (President),"Retail Banking, Payday advance, Mortgage loan|Mortgages, Consumer Finance, Investment Banking",¥56.89B,"1,975<ref>Cite web|lang=en|url=https://www.marketwatch.com/investing/stock/8346/company-profile?countrycode=jp|title=Toho Bank Ltd.|website=Marketwatch|access-date=2024-03-31|archive-date=2024-03-31|archive-url=https://web.archive.org/web/20240331184030/https://www.marketwatch.com/investing/stock/8346/company-profile?countrycode=jp</ref>",,,,
'''Inventec''' Corporation,,", ",,,profit$7.2 billion USD (2006),"23,000+",,,,
Centros Comerciales Sudamericanos S.A.,,", ",Horst Paulmann|Horst Paulmann Kemna,"Hypermarkets ,  Supermarkets ,  Shopping malls ,  Department stores",increase United States dollar|US$ 19.0 billion <small>(2012)</small> <ref>[http://investing.businessweek.com/businessweek/research/stocks/financials/financials.asp?ticker=6528025&dataset=incomeStatement&period=A&currency=US%20Dollar businessweek.com]dead link|date=April 2023|bot=mediccbignore|bot=medic</ref>,126530,,,,
Abu Dhabi Islamic Bank PJSC,,", ",,,,,,,,
Kimco Realty Corporation,,", ","Milton Cooper, Chairman<br>Conor C. Flynn, CEO<br>Glenn G. Cohen, CFO",,decrease $1.044 billion (2020),484 (2020),,,,
Basler Kantonalbank,,", ",,,,"1241 (2022)<ref name=""bank_profile"">[https://thebanks.eu/banks/9504 Bank Profile: Basler Kantonalbank]</ref>",[http://www.bkb.ch bkb.ch],,,
People's Bank of Sondrio,1871,"Sondrio, Italy",,,$1.5 billion,,url|http://www.popso.it,,,
SBA Communications Corporation,"<!-- if known: Start date and age|1989|MM|DD in city, state, country -->","Boca Raton, Florida, United States","Jeffrey A. Stoops<ref name=""yahoofinance"">Cite web|url=https://finance.yahoo.com/quote/SBAC/profile?p=SBAC|title=SBAC Profile ! SBA Communications Corporation Stock – Yahoo Finance|website=finance.yahoo.com|language=en-US|access-date=2018-09-22</ref>",,,,URL|http://sbasite.com,,,
"The Nanto Bank, Ltd., <small>株式会社南都銀行</small>",,", ",Yasuo Ueno <small>(President (corporate title)|President)</small>,,Japanese yen|¥81.869 billion <small>(2015)</small>,"2,697 <small>(as of March 31, 2015)</small>",,,,
Scentre Group Limited,,", ",Ilana Atlas (Chair)<ref name=reuters>Cite web|url=https://www.reuters.com/companies/SCG.AX|title = SCG.AX - Scentre Group Profile &#124, Reuters|website = Reuters</ref><br>Elliott Rusanow (Chief executive officer|CEO)<ref name=reuters/>,,,"2,964 (2024)<ref name=""2023 Annual Financial Report"">cite report | date=21 February 2024 | url=https://assets.ctfassets.net/0vreywxqlgab/2TgoNvIf2qQOLQh7NaatFb/32c9a9fa1788303559dd1d802f0e0e96/2023_Annual_Financial_Report.pdf | title=Scentre Group 2023 Annual Financial Report </ref>",,,
"Brown & Brown, Inc.",Start date and age|1939<ref>cite web|url=https://www.bbinsurance.com/about-us/history/ |title=History - Brown & Brown Insurance |access-date=2013-03-31 |url-status=dead |archive-url=https://web.archive.org/web/20130819002840/https://www.bbinsurance.com/about-us/history/ |archive-date=2013-08-19 </ref>,", ","ubl|nowrap|J. Powell Brown|nowrap|<small>(Director (business)|Director, President, & CEO)</small>|nowrap|R. Andrew Watts|nowrap|<small>(Executive Vice President & CFO)</small>",,nowrap|increase US$|3.051&nbsp,billion|link=yes (2021),"≈&nbsp;12,023 (December 2021)",url|bbinsurance.com,,
Airports of Thailand,,", ",ublist| Police Gen. Visanu Prasattongosoth (Chairman) | Kerati Kijmanawat (President (corporate title)|President),airport#Airport operations|Airport operations and services,increase 64.99 billion Thai baht|baht (FY2019)<ref name=FS>cite web|title=Companies/Securities in Focus, AOT: AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED|url=http://www.set.or.th/set/companyhighlight.do?symbol=AOT&ssoPageId=5|website=SET|publisher=Stock Exchange of Thailand|accessdate=8 Feb 2020</ref>,"6,044 (2015)<ref name=AnnRpt-2015>cite web|title=Annual Report 2015 Airports of Thailand Public Company Limited|url=http://aot.listedcompany.com/misc/AR/20160112-aot-ar-2015-th.pdf|website=AOT PLC|publisher=Airports of Thailand PLC|accessdate=23 Jan 2016</ref>rp|59",,,
HelloFresh SE,start date and age|2011|11,"Berlin, Germany","Unbulleted list
|Dominik Richter (CEO)
|Thomas Griesel (Chief operating officer|COO)
|Christian Gartner (Chief financial officer|CFO)
|Maximilian Backhaus (Chief marketing officer|CMO)
|",,"increase €|5.99&nbsp;billion|link=yes (2021)<ref name=AR>cite web |url=https://ir.hellofreshgroup.com/download/companies/hellofresh/Annual%20Reports/DE000A161408-JA-2021-PN-EQ-E-00.pdf |title=HelloFresh Annual Report 2021 |work=HelloFresh SE |date=March 6, 2022 |access-date=April 27, 2022 |page=3 </ref>","14,635 full-time equivalent|FTE<ref name=AR />",ubl|URL|hellofresh.com|URL|hellofreshgroup.com,,,
Liberbank,,", ",ubl |Pedro Manuel Rivero Torre (Non-executive Chairman) |Manuel Menéndez Menéndez (CEO),Banking services,,"decrease 3,760",,,,
CIT Group,,", ",Ellen Alemany<br>(Chairwoman & CEO)<br>John Fawcett<br>(CFO)<br>Robert Rubino<br>(President of CIT Bank),"Commercial banking<br>Retail banking<br>Asset-based lending<br>Commercial mortgages<br>Factoring (finance)|Factoring
Locomotive leasing",,,,,,
Dassault Aviation SA,,", ","Éric Trappier, (Chairman and CEO)","Civil aircraft, Military aircraft, Space activities",Decrease currency|6.93 billion|EUR|passthrough=yes (2022),"12,768 (2022)",,,,
"RingCentral, Inc.",,", ",Unbulletedlist|Vlad Shmunis (Executive Chairman of the Board)|Tarek Robbiati (CEO)|Sonalee Parekh (CFO)|John Marlow (CAO)|Vlad Vendrow (CTO)|Carson Hostetter (CRO)|Kira Makagon (CINO)|Bobbie Grafeld (CHRO),Unbulletedlist|RingCentral MVP|RingCentral Contact Center|RingSense,nowrap|increase US$|1.99 billion|link=yes (2022),"3,902 (December 2022)",URL|ringcentral.com,,,
"Thor Industries, Inc.",,", ",Peter Busch Orthwein<small>(Chairman)</small><br/>Bob Martin<small>(CEO)</small>,,decrease $11.121 billion United States dollar|USD (2023)<ref name=2023Annual>Cite web|title= Thor Industries Fiscal 2023 Annual Report|url=https://s23.q4cdn.com/270606922/files/doc_downloads/2023/10/thor-annual-report-2023_.pdf|publisher=Thor Industries| access-date= 2021-02-07</ref>,"24,900<ref name=2023Annual/>",,,,
Ramsay Health Care Limited,Start date|1964,", ",Unbulleted list | Michael Siddle (Chairman) | Craig McNally (CEO) | Martyn Roberts (CFO),,increase A$12.456 billion (2021),"~80,000",,,,
"Toll Brothers, Inc.",,", ","Douglas C. Yearley, Jr. (Chairman and Chief executive officer|CEO)
Tom Meacham, Construction Manager",,increase US$|10.28 billion|link=yes (2022),5200,,,,
Teledyne Technologies Incorporated,,", ",ubl|Robert Mehrabian (Executive Chairman)|Edwin Roks (CEO),,"increase US$|5.64&nbsp;1,000,000,000|billion|link=yes (2023)","14,900 (2023)",official URL,,,
Taiheiyo Cement Corporation,,", ","Keiji Tokuue, <small>(Chairman#Public corporations|Chairman of the Board)</small>, Shuji Fukuda, <small>(President (corporate title)|President)</small>",Ubl|Cement|Ready-mix concrete|Construction aggregate|Mined aggregates|Construction materials|Ceramic|Ceramic products,"profit United States dollar|US$ 8.16 billion (Fiscal year|FY 2014)
                   (Japanese yen|¥ 840.28 billion) (FY 2014)","13,087 (consolidated as of June 2014)",,,,
"Tenneco, Inc.",,", ",ubl|Jim Voss (Chief executive officer|CEO)|Jeff Stafeil (Chief financial officer|CFO)|Ed Yocum (senior vice president and General Counsel)<ref>cite web|title=Leadership Team|url=http://www.tenneco.com/overview/leadership_team/|website=www.tenneco.com|publisher=Tenneco Inc|access-date=2016-09-03</ref>,"Ride control, Vehicle emissions control|emissions control, elastomer, Powertrain Components, Car suspension|Suspension, Brake pads",increase $18.9 Billion<ref> https://www.forbes.com/companies/tenneco/</ref>,"71,000<ref>Cite web|url=https://www.tenneco.com/who-we-are/executive-leadership-team/|title=Tenneco|website=Fortune|language=en-US|access-date=2018-12-01</ref>",,,,
Aareal Bank AG,,", ",ubl|Christian Ricken|smaller|(chairman of the management board)|Marija Korsch|smaller|(chairman of the supervisory board),Structured finance|Structured Property Finance and Consulting Services for the Real estate economics|housing sector,,"2,982 <ref name=""AR2020"" />",,,,
"Guangzhou Xiaopeng Motors Technology Co., Ltd.",,", ","Plain list|
* Wang Fengying (president)
* He Xiaopeng (chairman)
* Brian Gu Hongdi (vice chairman)",,Increase US$4.22 billion (2023)<ref name=Annual6K2023>cite web |title=XPeng Inc. Full Year 202 Form 20-F Report |url=https://ir.xiaopeng.com/static-files/be01bd9d-41dd-4293-9c31-33ce6e4e4695 |website=xiaopeng.com |date=31 December 2023 |access-date=5 July 2024</ref>,"Decrease 13,550 (''As of 31 December 2023'')<ref name=Annual6K2023 />",,,,
Teleflex Incorporated,,", ","ubl|Benson F. Smith (Chairman)<ref name=""marketwatch"">cite web|url=https://www.marketwatch.com/investing/stock/tfx/profile |title=Teleflex Inc. Profile |website=MarketWatch.com |access-date=2020-01-04</ref><ref name=""board"">cite web|url=https://teleflexincorporated.gcs-web.com/directors-and-committee-composition |title=Board of Directors|publisher=Teleflex Incorporated|access-date=2020-01-04</ref>
| Liam J. Kelly (Chief executive officer|CEO, President (corporate title)|President)<ref name=""marketwatch""/><ref name=""board""/>
| Thomas E. Powell (Chief financial officer|CFO, Vice president#In business|EVP)<ref name=""marketwatch""/>",,US$2.448 billion in FY2018,"15,000 (2023)<ref>Cite web|url=https://www.forbes.com/companies/teleflex/?sh=620b85d974b0|title = Teleflex (TFX)|website = Forbes</ref>",,,,
Amdocs Limited,"Start date and age|1982 in Israel<ref name=""incorporation"">cite web|url=http://www.amdocs.com |title=Amdocs Website |publisher=Amdocs.com |access-date=26 January 2013</ref>",", ","Plainlist|
* Shuky Sheffer (Chief executive officer|CEO)
* Tamar Rapaport-Dagim (Chief financial officer|CFO & Chief operating officer|COO)",,increase US$|4.89 billion|link=yes (2023),"30,695 (2023)",url|amdocs.com,,,
"Builders FirstSource, Inc.",Start date and age|1998,", ",Peter Jackson (CEO),,,,[https://www.bldr.com/ bldr.com],,,
Afterpay Limited,start date and age|2014|10,", ",,,increase AU$924.7 million (FY2021),,,,,
"Aozora Bank, Ltd. ,  株式会社あおぞら銀行",,", ","Brian F. Prince <small>(Chairman)</small>, Shinsuke Baba <small>(President and CEO)</small><ref name=""keypeople"">[http://www.aozorabank.co.jp/english/about/corporate/overview/officer/index.html Directors and Auditors]. Retrieved on February 5, 2013.</ref>","Time deposits <br/> Investment trusts <br/> Individual annuity insurance <br/> Telephone banking services <br/> Automated teller machine|ATM alliances <br/> Personal loans <br/> Asset Management Consulting Services  <ref name=""products"">[http://www.aozorabank.co.jp/english/investors/ir/annual/2005/download/diskmini2006_e.pdf Corporate Brochure 2006, Page Three] webarchive |url=https://web.archive.org/web/20070926004419/http://www.aozorabank.co.jp/english/investors/ir/annual/2005/download/diskmini2006_e.pdf |date=September 26, 2007 . Retrieved on July 2, 2007.</ref>",,"1,359 (Bank only) <ref name=""employees"">[http://www.aozorabank.co.jp/english/investors/ir/annual/2005/download/diskmini2006_e.pdf Corporate Brochure 2006, Page Six] webarchive |url=https://web.archive.org/web/20070926004419/http://www.aozorabank.co.jp/english/investors/ir/annual/2005/download/diskmini2006_e.pdf |date=September 26, 2007 . Retrieved on July 2, 2007.</ref>",,,,
PBF Energy Inc.,2008,"Parsippany, New Jersey, U.S.","ubl|class=nowrap
| Thomas J. Nimbley | (Chairman)
| Matthew C. Lucey | (President & CEO)",,,"3,776 (2024)",URL|pbfenergy.com,,,
"BeiGene, Ltd.",Start date and age|2010,", ",,,increase US$|2.459 billion|link=yes (2023),"10,600 (2024)",Official URL,,,
Royal Mail Group Limited,,", ",Ubl|Keith Williams (businessman)|Keith Williams (Non-executive Chairman)|Martin Seidenberg (Group CEO),,,,,,,
Tronox Limited, chemical manufacturing,,", ",,,,,,,
Luzerner Kantonalbank,,", ",,,,"948 (2014)<ref name=""bank_profile""/>",[http://www.lukb.ch lukb.ch],,,
LIC Housing Finance Limited,,", ","Tribhuwan Adhikary , small|(CEO|MD & CEO)<ref>cite web |last1=Bureau |first1=Our |title=New CEO at LIC Housing Finance |url=http://businessnewsthisweek.com/business/shri-tribhuwan-adhikari-takes-over-as-coo-of-lic-housing-finance-ltd/ |website=@businessnews |date=28 June 2023 |access-date=28 June 2023 |language=en</ref>",Home loans and Mortgage loans,upINRConvert|20005|c(2023)<ref>Cite web|url=https://www.bseindia.com/stock-share-price/lic-housing-finance-ltd/lichsgfin/500253/financials-results-special/|title=LIC-HFL Annual Trends</ref>,2103,,,,
"Datadog, Inc.","Start date and age|2010, in New York City",", ",ubl|Olivier Pomel (Chief executive officer|CEO)|Alexis Lê-Quôc (Chief technology officer|CTO),Datadog,increase US$|2.13 billion|link=yes (2023),"5,200 (2023)",url|https://www.datadoghq.com/|datadoghq.com,,,
Wintrust Financial Corporation,,", ","Tim Crane, chief executive officer|CEO & President (corporate title)|President; David Dykstra, Chairperson#Vice-chairperson and deputy chairperson|Vice Chairman & Chief Operating Officer|COO","Retail banking|Consumer Banking, Commercial bank|Corporate Banking, Insurance, Investment Banking, Mortgage loans, Private Banking, Private Equity, Wealth Management, Credit Cards, Financial Analysis,",increase $ 2.16 billion <small>(fiscal year ended 31 December 2023)</small><ref name= 10K2023 />,"5,521 FTE <small>(fiscal year ended 31 December 2023)</small><ref name= 10K2023 />",,,,
Cattolica Assicurazioni,start date|1896|2|27|df=yes,"Verona, Italy",ubl|Paolo Bedoni (chairman)|Carlo Ferraresi&nbsp,(CEO),,,1692,official website|http://www.cattolica.it/en/home-corporate,,
Bank of Greece,,", ",,,,,official URL,,,
Dollarama Inc.,,", ","Neil Rossy, CEO<ref>cite web|url=http://www.dollarama.com/corporate-governance/officers/|title=Officers - Dollarama</ref> , Larry Rossy, (Executive Chairman)","Cleaning supplies, toys, candy, grocery, gifts, healthcare products, kitchenware, stationery, party supplies, hardware","increase $5.052 billion Canadian dollar|CAD (2023)<ref name=""financial"">cite web|url=https://www.prnewswire.com/news-releases/dollarama-reports-fourth-quarter-and-fiscal-year-2023-results-301784200.html|title=DOLLARAMA REPORTS FOURTH QUARTER AND FISCAL YEAR 2023 RESULTS|publisher=Dollarama Inc.|date=28 Dec 2023</ref>","Around 24,000 (2023)",,,,
Hokkoku Bank,,", ",sasuke satake,Banking,,2300 (2014),,,,
